Month,Call Volume
1/1/2017,48239
2/1/2017,42176
3/1/2017,46238
4/1/2017,42362
5/1/2017,45914
6/1/2017,45519
7/1/2017,41111
8/1/2017,42484
9/1/2017,39754
10/1/2017,46640
11/1/2017,50728
12/1/2017,44771
1/1/2018,48217
2/1/2018,44012
3/1/2018,46840
4/1/2018,48348
5/1/2018,48600
6/1/2018,43434
7/1/2018,50356
8/1/2018,54320
9/1/2018,48260
10/1/2018,58059
11/1/2018,50977
12/1/2018,44124
1/1/2019,46429
2/1/2019,48347
3/1/2019,44893
4/1/2019,48295
5/1/2019,50901
6/1/2019,46533
7/1/2019,47944
8/1/2019,47310
9/1/2019,45262
10/1/2019,49613
11/1/2019,40431
12/1/2019,37935
1/1/2020,44327
2/1/2020,40076
3/1/2020,38864
4/1/2020,32852
5/1/2020,27944
6/1/2020,30685
7/1/2020,30571
8/1/2020,31314
9/1/2020,30954
10/1/2020,34179
11/1/2020,30091
12/1/2020,29813
1/1/2021,27722
2/1/2021,26341
3/1/2021,32751
4/1/2021,28718
5/1/2021,26729
6/1/2021,31339
7/1/2021,29825
